Date,Open,High,Low,Close,Volume,Name
6/7/2006,79.78,80.74,79.12,79.15,7925300,IBM
6/8/2006,78.55,79.58,76.75,77.03,13476600,IBM
6/9/2006,77.24,78.1,77.05,77.63,6135400,IBM
6/12/2006,77.63,78.09,77.01,77.02,4925000,IBM
6/13/2006,77.14,77.93,76.82,76.93,7374200,IBM
6/14/2006,76.93,77.85,76.93,77.71,6038600,IBM
6/15/2006,77.85,78.78,76.95,78.56,6679800,IBM
6/16/2006,78.44,78.53,77.57,77.95,8133500,IBM
6/19/2006,77.9,78.3,77.34,77.67,5303100,IBM
6/20/2006,77.84,78.3,77.25,77.99,6124500,IBM
6/21/2006,77.99,78.56,77.98,78.3,5615900,IBM
6/22/2006,78.16,78.37,77,77.19,5569100,IBM
6/23/2006,77.15,77.84,76.94,77.1,4520600,IBM
6/26/2006,77.04,77.52,76.8,77.15,3448100,IBM
6/27/2006,77.32,77.6,76.32,76.63,5597000,IBM
6/28/2006,76.53,76.6,76.06,76.56,4392200,IBM
6/29/2006,76.89,77.8,76.56,77.59,5449200,IBM
6/30/2006,77.7,77.93,76.79,76.82,7918800,IBM
7/3/2006,77.54,78.27,77.27,78.02,3177300,IBM
7/5/2006,78,78.39,77.52,77.77,4048200,IBM
7/6/2006,77.59,78.53,77.57,78.09,4333100,IBM
7/7/2006,78.09,78.09,76.12,76.42,6642600,IBM
7/10/2006,76.18,76.83,75.87,76.67,7154700,IBM
7/11/2006,76.25,76.65,75.44,76.47,6086500,IBM
7/12/2006,76.07,76.3,74.82,75.48,8372100,IBM
7/13/2006,75.01,75.28,73.83,74.24,8754900,IBM
7/14/2006,74.24,74.3,73.37,73.57,6957800,IBM
7/17/2006,73.35,73.94,73.2,73.7,6823100,IBM
7/18/2006,73.7,74.42,72.73,74.26,8730600,IBM
7/19/2006,76,77.06,76,76.07,14536900,IBM
7/20/2006,75.73,75.88,75.2,75.48,12216500,IBM
7/21/2006,75.49,75.5,74.5,74.86,8372500,IBM
7/24/2006,74.92,76.15,74.92,75.99,5611200,IBM
